Station Name,City,State,AQI,Latitude,Longitude
"Police Commissionerate, Jaipur, India",Police Commissionerate,Rajasthan,151,26.9164092,75.7994901
"Zero Point GICI, Gangtok, India",Zero Point GICI,Sikkim,85,27.33853,88.614099
"Manali, Chennai, Chennai, India",Chennai,Tamil Nadu,99,13.164544,80.26285
"Perungudi, Chennai, Chennai, India",Chennai,Tamil Nadu,72,12.9533,80.2357
"SIDCO Kurichi, Coimbatore, India",SIDCO Kurichi,Tamil Nadu,59,10.942451,76.978996
"IITH Kandi, Hyderabad, India",IITH Kandi,Telangana,153,17.585705,78.126199
"New Malakpet, Hyderabad, India",New Malakpet,Telangana,155,17.37206,78.50864
"Somajiguda, Hyderabad, India",Somajiguda,Telangana,124,17.417094,78.457437
"Bardowali, Agartala, India",Bardowali,Tripura,140,23.8175497,91.2726974
"Ardhali Bazar, Varanasi, India",Ardhali Bazar,Uttar Pradesh,94,25.3505986,82.9083074
"Central School, Lucknow, India",Central School,Uttar Pradesh,162,26.8821003,80.9302753
"Civil Lines, Bareilly, India",Civil Lines,Uttar Pradesh,65,28.359581,79.414455
"Nehru Nagar, Kanpur, India",Nehru Nagar,Uttar Pradesh,64,26.4703136,80.3229863
"Pallavpuram Phase 2, Meerut, India",Pallavpuram Phase 2,Uttar Pradesh,146,29.06351,77.709723
"Rajendra Nagar, Bareilly, India",Rajendra Nagar,Uttar Pradesh,38,28.38910936,79.42963708
"Rohta, Agra, India",Rohta,Uttar Pradesh,61,27.106972,78.000111
"Sanjay Nagar, Ghaziabad, India",Sanjay Nagar,Uttar Pradesh,88,28.685382,77.453839
"Sector-3B Avas Vikas Colony, Agra, India",Sector-3B Avas Vikas Colony,Uttar Pradesh,101,27.19412,77.96237
"Talkatora, Lucknow, India",Talkatora,Uttar Pradesh,89,26.83399722,80.8917361
"Asansol Court Area, Asansol, India",Asansol Court Area,West Bengal,144,23.685297,86.945968
"Belur Math, Howrah, India",Belur Math,West Bengal,136,22.629801,88.352017
"Bidhannagar, Kolkata, India",Bidhannagar,West Bengal,101,22.58157048,88.41002457
"Ghusuri, Howrah, India",Ghusuri,West Bengal,161,22.611968,88.347422
"Haldia, Haldia, India",Haldia,West Bengal,128,22.06047,88.109737
"Rabindra Bharati University, Kolkata, India",Rabindra Bharati University,West Bengal,143,22.627847,88.380669
